Receiving time        Device NO        AccelerationX        AccelerationY        AccelerationZ        Angular VelocityX        Angular VelocityY        Angular VelocityZ        AngleX        AngleY        AngleZ        Magnetic FieldX        Magnetic FieldY        Magnetic FieldZ        Temperature        Electric Quantity        Signal        Versions
 2022-05-07 13:13:08.559        WT5300004315        -0.879        -0.415        -0.114        -0.793        -0.305        -0.122        -106.847        64.407        -169.672        198        355        -462        36.96        3.90        -73        13006
 2022-05-07 13:13:08.587        WT5300004430        -0.818        0.129        -0.079        1.342        -0.183        -0.915        97.602        78.755        141.844        342        29        93        36.44        4.01        -66        13006
 2022-05-07 13:13:08.591        WT5300004344        0.994        0.607        -0.011        0.671        -0.610        0.488        94.345        -57.892        -77.519        -588        178        -109        36.38        3.94        -78        13006
 2022-05-07 13:13:08.599        WT5300004357        -0.895        -0.747        0.010        -0.732        -0.305        2.319        -90.972        50.509        149.523        551        -91        -706        38.76        3.98        -73        13006
 2022-05-07 13:13:08.630        WT5300004408        -0.891        -0.044        0.115        -1.037        0.549        0.366        -22.082        82.446        -96.806        413        85        -289        34.92        3.99        -65        13006
 2022-05-07 13:13:08.638        WT5300004331        -0.876        0.413        -0.147        0.854        1.892        -0.244        110.945        63.682        42.885        419        -13        -287        39.50        3.95        -78        13006
 2022-05-07 13:13:08.659        WT5300004315        -0.893        -0.404        -0.115        0.000        0.305        0.000        -106.891        64.390        -169.573        199        356        -460        36.95        3.90        -73        13006
 2022-05-07 13:13:08.693        WT5300004344        0.998        0.620        -0.005        2.258        -0.610        0.793        94.465        -58.035        -77.673        -587        181        -105        36.38        3.94        -78        13006
 2022-05-07 13:13:08.687        WT5300004430        -0.820        0.124        -0.081        1.770        1.892        -0.976        99.794        78.881        143.453        343        30        93        36.46        4.01        -66        13006
 2022-05-07 13:13:08.700        WT5300004357        -0.892        -0.761        0.004        -1.464        -1.098        1.586        -90.895        50.712        149.639        553        -93        -707        38.76        3.98        -73        13006
 2022-05-07 13:13:08.732        WT5300004408        -0.892        -0.053        0.117        1.037        0.305        0.122        -21.791        82.457        -96.591        413        84        -289        34.94        3.99        -65        13006
 2022-05-07 13:13:08.736        WT5300004331        -0.876        0.413        -0.133        2.136        0.366        0.427        111.302        63.610        43.341        419        -11        -286        39.51        3.95        -78        13006
 2022-05-07 13:13:08.760        WT5300004315        -0.887        -0.410        -0.122        0.610        0.488        0.244        -106.918        64.385        -169.601        199        356        -460        36.96        3.90        -73        13006
 2022-05-07 13:13:08.794        WT5300004344        1.004        0.624        -0.021        -0.244        1.220        -1.098        94.174        -58.018        -77.541        -589        179        -106        36.37        3.94        -76        13006
 2022-05-07 13:13:08.798        WT5300004357        -0.903        -0.764        -0.005        -0.061        -1.220        -1.831        -90.670        50.537        149.787        552        -92        -706        38.75        3.98        -73        13006
